id,nume,prenume,date_nast,email,numar
1,Stoica,Victor,1995-08-21,victor.stoica34@yahoo.com,0723833811
2,Constantin,Cristina,1970-06-04,cristina.constantin46@hotmail.com,0761870014
3,Matei,Mihaela,1991-04-20,mihaela.matei71@gmail.com,0751218146
4,Barbu,Octavian,1985-04-23,octavian.barbu71@gmail.com,0761644105
5,Barbu,Horia,1992-01-19,horia.barbu90@gmail.com,0732360709
6,Nistor,Eliza,1992-04-01,eliza.nistor32@outlook.com,0741288511
7,Marin,Irina,1998-06-14,irina.marin8@yahoo.com,0732447501
8,Dumitru,Emil,1998-07-24,emil.dumitru78@hotmail.com,0722211860
9,Neagu,Ioana,1972-07-22,ioana.neagu18@outlook.com,0741672815
10,Stoica,Carmen,1981-03-18,carmen.stoica38@gmail.com,0771705756
11,Ilie,Mihai,1994-04-24,mihai.ilie29@hotmail.com,0731361946
12,Gheorghe,Gabriela,1986-10-21,gabriela.gheorghe61@gmail.com,0722266964
13,Matei,Laura,1985-01-03,laura.matei56@outlook.com,0722950958
14,Negru,Octavian,2002-02-25,octavian.negru91@hotmail.com,0761806308
15,Sandu,Marius,1972-08-15,marius.sandu25@yahoo.com,0721495385
16,Badea,Gabriela,1976-10-06,gabriela.badea50@gmail.com,0741694827
17,Gheorghe,Adrian,1985-08-25,adrian.gheorghe90@yahoo.com,0742256329
18,Cojocaru,Vlad,1973-01-01,vlad.cojocaru76@hotmail.com,0731859371
19,Radu,Victor,1989-07-05,victor.radu39@hotmail.com,0741333618
20,Preda,Lavinia,1973-01-25,lavinia.preda85@yahoo.com,0741597466
21,Stan,Lavinia,1997-07-07,lavinia.stan12@outlook.com,0732719148
22,Dobre,Ion,1994-10-20,ion.dobre22@yahoo.com,0761329247
23,Barbu,Roxana,1990-12-14,roxana.barbu83@outlook.com,0731871913
24,Neagu,Paula,1994-10-27,paula.neagu37@yahoo.com,0771776628
25,Ionescu,Marius,2002-12-30,marius.ionescu95@hotmail.com,0723802046
26,Negru,Diana,1980-09-09,diana.negru24@yahoo.com,0723101997
27,Badea,Teresa,1992-01-24,teresa.badea91@yahoo.com,0721761427
28,Mihai,Ionut,1975-09-15,ionut.mihai34@yahoo.com,0742710113
29,Niculescu,Nicolae,1978-11-24,nicolae.niculescu26@gmail.com,0771116469
30,Neagu,Oana,1986-09-29,oana.neagu29@hotmail.com,0741558191
31,Neagu,Dorian,1984-09-25,dorian.neagu57@outlook.com,0722552800
32,Stan,Irina,2001-08-10,irina.stan85@outlook.com,0741562568
33,Draghici,Diana,1973-03-16,diana.draghici60@outlook.com,0732353687
34,Ionescu,George,1995-10-27,george.ionescu34@gmail.com,0722284540
35,Preda,Monica,1970-05-04,monica.preda86@hotmail.com,0723504198
36,Constantin,Ion,1999-10-23,ion.constantin15@gmail.com,0731506684
37,Cojocaru,Octavian,1992-07-08,octavian.cojocaru40@outlook.com,0741566419
38,Cojocaru,Horia,1977-03-14,horia.cojocaru54@outlook.com,0731994055
39,Matei,Teresa,1975-01-13,teresa.matei74@yahoo.com,0742789757
40,Matei,Octavian,1987-09-24,octavian.matei52@hotmail.com,0761879917
41,Mihai,Denisa,1999-06-12,denisa.mihai10@outlook.com,0723550322
42,Andrei,Laura,1991-02-21,laura.andrei58@outlook.com,0751945198
43,Popescu,Mihai,1981-09-06,mihai.popescu32@outlook.com,0771589277
